  XO OOXX;659;0.9999999999999993
  XOX    ;660;0.5
  XOX   O;661;0.4625
  XOX  XO;662;0.5
  XOX  O ;663;0.5
  XOX  OX;664;0.5
  XOX  OO;665;0.5
  XOX X O;666;0.5
  XOX XO ;667;0.5
  XOX XOO;668;0.5
  XOX O  ;669;0.6951361687054317
  XOX O X;670;0.5
  XOX O O;671;0.5
  XOX OX ;672;0.5
  XOX OXO;673;0.5
  XOX OO ;674;0.5
  XOX OOX;675;0.5
  XOXX  O;676;0.5
  XOXX O ;677;0.5
  XOXX OO;678;0.5
  XOXXXOO;679;0.5
  XOXXO  ;680;0.5
  XOXXO O;681;0.5
  XOXXOXO;682;0.5
  XOXXOO ;683;0.5
  XOXXOOX;684;0.5
  XOXXOOO;685;0.5
  XOXO   ;686;0.4625
  XOXO  X;687;0.5
  XOXO  O;688;0.5
  XOXO X ;689;0.5
  XOXO XO;690;0.5
  XOXO O ;691;0.5
  XOXO OX;692;0.5
  XOXOX  ;693;0.5
  XOXOX O;694;0.5
  XOXOXXO;695;0.5
  XOXOXO ;696;0.5
  XOXOXOX;697;0.5
  XOXOXOO;698;0.5
  XOXOO  ;699;0.5
  XOXOO X;700;0.36604707031250006
  XOXOOX ;701;0.5
  XOXOOXX;702;0.5
  XOXOOXO;703;0.5
  XOXOOOX;704;0.5
  XOO    ;705;0.5
  XOO   X;706;0.42781250000000004
  XOO  X ;707;0.9484801133418161
  XOO  XX;708;0.5
  XOO  XO;709;0.5
  XOO  OX;710;0.5
  XOO X  ;711;0.9864715085622255
  XOO X X;712;0.5
  XOO X O;713;0.5
  XOO XX ;714;0.5
  XOO XXO;715;0.5
  XOO XO ;716;0.5
  XOO XOX;717;0.5
  XOO O X;718;0.5
  XOO OX ;719;0.5
  XOO OXX;720;0.5
  XOOX   ;721;0.4625
  XOOX  X;722;0.5
  XOOX  O;723;0.5
  XOOX X ;724;0.5
  XOOX XO;725;0.6720599522106887
  XOOX O ;726;0.5
  XOOX OX;727;0.5
  XOOXX  ;728;0.5
  XOOXX O;729;0.7745744060270733
  XOOXXXO;730;0.5
  XOOXXO ;731;0.33859354003906256
  XOOXXOX;732;0.5
  XOOXXOO;733;0.5
  XOOXO  ;734;0.5
  XOOXO X;735;0.5
  XOOXOX ;736;0.2679809153687287
  XOOXOXX;737;0.5
  XOOXOXO;738;0.5
  XOOXOOX;739;0.5
  XOOO  X;740;0.5
  XOOO X ;741;0.5
  XOOO XX;742;0.9999999999999993
  XOOOX  ;743;0.5
  XOOOX X;744;0.9999999999999993
  XOOOXX ;745;0.9999999999999993
  XOOOXXX;746;0.5
  XOOOXXO;747;0.5
  XOOOXOX;748;0.5
  XOOOOXX;749;0.5
  O      ;750;0.5
  O     X;751;0.3456198916158042
  O    X ;752;0.36604707031250006
  O    XX;753;0.5
  O    XO;754;0.5
  O    OX;755;0.5
  O   X  ;756;0.2796960840003353
